"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2018","18,010","17,142","18,061","17,142","5.24M","4.13%"
"Jan 30, 2018","17,295","17,495","17,595","16,767","4.02M","-1.73%"
"Jan 29, 2018","17,600","18,350","18,692","17,531","4.10M","-4.07%"
"Jan 26, 2018","18,347","18,450","18,770","18,255","3.79M","-1.05%"
"Jan 25, 2018","18,541","18,549","18,821","18,395","4.08M","-0.04%"
"Jan 24, 2018","18,549","19,100","19,232","18,541","4.05M","-1.96%"
"Jan 23, 2018","18,919","18,350","19,200","18,150","4.82M","3.38%"
"Jan 22, 2018","18,300","18,051","18,380","17,965","5.14M","2.23%"
"Jan 19, 2018","17,900","18,380","18,398","17,712","4.40M","-2.19%"
"Jan 18, 2018","18,300","17,900","18,334","17,724","6.24M","2.56%"
"Jan 17, 2018","17,844","18,090","18,090","17,470","5.69M","0.25%"
"Jan 16, 2018","17,800","17,330","17,976","17,146","3.05M","3.49%"
"Jan 15, 2018","17,200","17,495","17,495","17,129","931.66K","-0.29%"
"Jan 12, 2018","17,250","17,595","17,595","17,000","2.62M","0.29%"
"Jan 11, 2018","17,200","17,425","17,431","17,049","2.86M","-1.41%"
"Jan 10, 2018","17,446","17,620","17,939","17,164","3.85M","-0.99%"
"Jan 09, 2018","17,620","17,269","17,620","17,160","5.74M","3.07%"
"Jan 08, 2018","17,096","17,001","17,200","16,860","3.92M","0.56%"
"Jan 05, 2018","17,000","17,000","17,192","16,915","4.38M","0.24%"
"Jan 04, 2018","16,960","16,962","17,262","16,829","3.18M","-0.01%"
"Jan 03, 2018","16,962","17,720","17,720","16,480","2.45M","-4.36%"
"Jan 02, 2018","17,736","18,100","18,100","17,694","2.53M","-2.54%"
"Dec 29, 2017","18,199","17,650","18,199","17,650","2.06M","2.24%"
"Dec 28, 2017","17,800","17,800","17,800","17,411","802.20K","0.65%"
"Dec 27, 2017","17,685","17,400","17,807","17,372","2.24M","2.82%"
"Dec 22, 2017","17,200","17,488","17,588","17,200","1.90M","-1.12%"
"Dec 21, 2017","17,395","18,105","18,361","17,257","9.40M","-3.95%"
"Dec 20, 2017","18,110","19,126","19,830","18,071","9.89M","-5.31%"
"Dec 19, 2017","19,126","17,300","19,257","17,110","16.79M","11.52%"
"Dec 18, 2017","17,150","16,250","17,269","16,250","6.38M","5.97%"
"Dec 15, 2017","16,184","16,005","16,184","15,500","4.43M","1.12%"
"Dec 14, 2017","16,005","15,105","16,079","15,031","4.87M","5.50%"
"Dec 13, 2017","15,170","14,850","15,217","14,850","2.40M","0.50%"
"Dec 12, 2017","15,095","15,050","15,270","14,824","4.29M","0.30%"
"Dec 11, 2017","15,050","15,646","15,687","14,974","4.27M","-4.13%"
"Dec 08, 2017","15,699","16,100","16,100","15,625","3.22M","-1.57%"
"Dec 07, 2017","15,950","15,985","16,088","15,800","2.19M","-0.67%"
"Dec 06, 2017","16,058","16,170","16,319","15,800","3.70M","-0.57%"
"Dec 05, 2017","16,150","16,000","16,307","15,756","4.69M","0.94%"
"Dec 04, 2017","16,000","16,000","16,050","15,738","3.07M","0.00%"
"Dec 01, 2017","16,000","15,800","16,324","15,628","2.81M","1.41%"
"Nov 30, 2017","15,778","15,706","16,079","15,611","4.14M","-0.45%"
"Nov 29, 2017","15,850","15,930","16,050","15,688","3.07M","-0.25%"
"Nov 28, 2017","15,889","15,385","15,946","15,370","2.87M","2.77%"
"Nov 27, 2017","15,461","14,900","15,506","14,400","3.15M","2.19%"
"Nov 24, 2017","15,130","15,200","15,396","14,891","3.19M","-1.30%"
"Nov 23, 2017","15,330","15,111","15,474","15,039","2.91M","0.65%"
"Nov 22, 2017","15,231","14,999","15,375","14,896","1.80M","1.54%"
"Nov 21, 2017","15,000","14,475","15,000","14,475","2.91M","1.35%"
"Nov 20, 2017","14,800","14,700","14,848","14,501","2.43M","0.16%"
"Nov 17, 2017","14,776","14,340","14,776","14,200","3.78M","3.33%"
"Nov 16, 2017","14,300","14,311","14,393","14,165","4.06M","0.00%"
"Nov 15, 2017","14,300","14,300","14,375","14,164","2.18M","-0.49%"
"Nov 14, 2017","14,370","14,298","14,485","14,170","1.88M","1.28%"
"Nov 13, 2017","14,188","14,245","14,469","14,188","1.48M","-0.34%"
"Nov 10, 2017","14,236","14,300","14,379","14,103","1.31M","0.06%"
"Nov 09, 2017","14,227","14,210","14,440","14,200","1.41M","-0.99%"
"Nov 08, 2017","14,369","14,400","14,468","14,150","3.26M","-0.22%"
"Nov 07, 2017","14,400","14,075","14,474","14,075","1.82M","1.29%"
"Nov 06, 2017","14,216","14,100","14,301","14,037","1.23M","0.40%"
"Nov 03, 2017","14,160","14,100","14,287","14,100","1.81M","-0.07%"
"Nov 02, 2017","14,170","14,000","14,200","14,000","1.09M","0.43%"
"Nov 01, 2017","14,109","13,958","14,148","13,884","2.24M","0.68%"
"Oct 31, 2017","14,014","13,958","14,055","13,850","1.93M","0.40%"
"Oct 30, 2017","13,958","13,897","14,030","13,750","1.75M","0.44%"
"Oct 27, 2017","13,897","13,634","13,898","13,600","2.42M","1.96%"
"Oct 26, 2017","13,630","13,999","14,022","13,571","4.92M","-2.85%"
"Oct 25, 2017","14,030","14,349","14,415","14,001","2.63M","-1.85%"
"Oct 24, 2017","14,295","14,300","14,385","14,065","1.09M","0.46%"
"Oct 23, 2017","14,230","14,096","14,458","14,052","1.36M","0.97%"
"Oct 20, 2017","14,093","14,750","14,750","14,093","2.44M","-4.13%"
"Oct 19, 2017","14,700","14,622","14,822","14,560","1.86M","0.00%"
"Oct 18, 2017","14,700","14,527","14,786","14,460","2.75M","1.02%"
"Oct 17, 2017","14,552","14,813","14,882","14,546","3.31M","-1.91%"
"Oct 16, 2017","14,835","14,750","14,940","14,729","1.90M","0.58%"
"Oct 13, 2017","14,750","14,600","14,784","14,600","3.70M","0.65%"
"Oct 12, 2017","14,655","14,642","14,735","14,563","2.72M","0.36%"
"Oct 11, 2017","14,602","14,398","14,657","14,397","2.76M","1.76%"
"Oct 10, 2017","14,350","14,300","14,393","14,138","2.47M","0.35%"
"Oct 09, 2017","14,300","14,200","14,389","14,168","1.50M","0.01%"
"Oct 06, 2017","14,298","14,100","14,298","14,040","1.50M","0.65%"
"Oct 05, 2017","14,205","13,715","14,258","13,700","2.72M","1.74%"
"Oct 04, 2017","13,962","13,783","13,962","13,717","1.68M","1.85%"
