"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2018","81,400","82,000","82,227","81,202","823.70K","-0.49%"
"Jan 30, 2018","81,800","82,000","82,600","81,268","750.45K","-0.44%"
"Jan 29, 2018","82,159","82,299","83,065","81,871","818.54K","0.19%"
"Jan 26, 2018","82,000","82,900","82,900","81,500","1.01M","-1.17%"
"Jan 25, 2018","82,974","84,900","85,292","82,974","555.11K","-2.59%"
"Jan 24, 2018","85,180","85,500","86,197","84,731","955.83K","-0.37%"
"Jan 23, 2018","85,500","85,197","86,149","84,859","991.34K","0.65%"
"Jan 22, 2018","84,951","84,400","85,354","83,735","761.84K","0.65%"
"Jan 19, 2018","84,400","83,500","84,465","83,083","894.33K","0.87%"
"Jan 18, 2018","83,671","85,000","85,670","83,552","792.30K","-1.42%"
"Jan 17, 2018","84,879","85,500","85,598","84,863","621.15K","-0.38%"
"Jan 16, 2018","85,200","85,274","86,005","84,714","477.55K","-0.09%"
"Jan 15, 2018","85,274","84,540","85,470","84,507","324.28K","0.87%"
"Jan 12, 2018","84,540","85,100","85,100","84,141","349.01K","-0.66%"
"Jan 11, 2018","85,100","83,900","85,209","83,600","570.77K","1.73%"
"Jan 10, 2018","83,650","83,300","84,478","83,000","777.09K","0.41%"
"Jan 09, 2018","83,305","82,800","84,145","82,714","986.07K","0.34%"
"Jan 08, 2018","83,025","82,936","83,589","82,650","281.32K","0.38%"
"Jan 05, 2018","82,711","82,299","83,200","81,785","216.06K","0.42%"
"Jan 04, 2018","82,365","82,402","82,945","81,514","502.29K","-0.70%"
"Jan 03, 2018","82,949","83,700","84,324","82,263","267.82K","-0.68%"
"Jan 02, 2018","83,515","83,027","84,211","83,027","313.40K","0.68%"
"Dec 29, 2017","82,950","83,181","83,600","82,384","123.31K","0.67%"
"Dec 28, 2017","82,400","83,600","83,906","82,100","343.39K","-0.17%"
"Dec 27, 2017","82,538","82,151","82,929","81,706","510.11K","-4.06%"
"Dec 22, 2017","86,034","85,523","86,034","84,978","129.91K","0.60%"
"Dec 21, 2017","85,523","84,300","85,523","83,728","2.46M","2.39%"
"Dec 20, 2017","83,524","85,101","85,449","83,524","1.40M","-1.43%"
"Dec 19, 2017","84,739","85,600","86,314","83,995","3.08M","-1.17%"
"Dec 18, 2017","85,746","86,000","87,214","85,564","1.26M","-1.51%"
"Dec 15, 2017","87,060","88,750","89,254","87,060","3.44M","-2.46%"
"Dec 14, 2017","89,254","90,510","91,190","88,602","1.16M","-1.81%"
"Dec 13, 2017","90,900","91,875","91,925","90,580","550.97K","-1.07%"
"Dec 12, 2017","91,887","91,069","91,887","90,552","484.01K","0.90%"
"Dec 11, 2017","91,069","90,012","92,099","90,012","376.25K","1.19%"
"Dec 08, 2017","90,000","90,999","91,999","89,660","612.70K","-1.12%"
"Dec 07, 2017","91,018","90,698","91,863","90,272","598.42K","-0.53%"
"Dec 06, 2017","91,500","87,550","91,500","85,000","728.27K","3.56%"
"Dec 05, 2017","88,355","87,350","88,645","86,881","477.32K","0.87%"
"Dec 04, 2017","87,594","88,500","89,299","87,275","463.95K","-0.27%"
"Dec 01, 2017","87,833","87,500","87,833","86,587","542.60K","0.26%"
"Nov 30, 2017","87,604","88,517","89,300","87,567","999.68K","-2.40%"
"Nov 29, 2017","89,755","90,200","90,700","89,088","644.18K","-0.43%"
"Nov 28, 2017","90,143","91,500","91,500","90,101","621.21K","-1.83%"
"Nov 27, 2017","91,828","93,500","93,899","91,500","1.08M","-1.26%"
"Nov 24, 2017","93,003","93,500","93,700","92,950","892.10K","-0.31%"
"Nov 23, 2017","93,290","92,501","93,290","91,718","1.36M","0.57%"
"Nov 22, 2017","92,761","93,861","94,330","92,729","455.36K","-1.09%"
"Nov 21, 2017","93,785","92,928","94,514","92,564","1.29M","1.50%"
"Nov 20, 2017","92,400","91,953","92,719","91,953","1.07M","0.22%"
"Nov 17, 2017","92,200","92,700","93,928","91,963","1.18M","-0.54%"
"Nov 16, 2017","92,700","92,825","93,194","92,279","1.16M","0.00%"
"Nov 15, 2017","92,700","92,315","93,599","92,313","599.62K","-0.02%"
"Nov 14, 2017","92,718","94,200","94,291","92,101","733.98K","-1.57%"
"Nov 13, 2017","94,200","93,450","94,731","92,678","516.36K","1.23%"
"Nov 10, 2017","93,054","92,708","93,984","92,551","427.73K","0.37%"
"Nov 09, 2017","92,708","92,430","92,759","91,502","440.75K","0.30%"
"Nov 08, 2017","92,430","91,773","93,135","91,637","458.38K","0.95%"
"Nov 07, 2017","91,559","92,595","92,850","90,598","879.93K","-0.85%"
"Nov 06, 2017","92,346","92,600","92,997","92,092","724.24K","-0.27%"
"Nov 03, 2017","92,600","90,700","92,754","90,700","623.41K","2.20%"
"Nov 02, 2017","90,604","90,550","91,946","89,890","505.77K","-0.85%"
"Nov 01, 2017","91,378","91,303","92,416","91,303","839.81K","0.42%"
"Oct 31, 2017","91,000","91,000","91,654","90,621","639.43K","-0.79%"
"Oct 30, 2017","91,724","92,763","93,129","91,557","923.90K","-1.52%"
"Oct 27, 2017","93,142","93,000","94,178","92,664","1.22M","0.80%"
"Oct 26, 2017","92,400","90,500","93,500","90,500","2.05M","2.21%"
"Oct 25, 2017","90,400","87,364","91,297","87,244","951.83K","3.48%"
"Oct 24, 2017","87,364","88,000","88,268","86,542","323.11K","-1.13%"
"Oct 23, 2017","88,364","88,046","89,126","88,003","529.96K","0.53%"
"Oct 20, 2017","87,900","86,467","88,243","86,276","502.32K","1.70%"
"Oct 19, 2017","86,431","86,761","86,773","85,488","507.53K","-0.65%"
"Oct 18, 2017","87,000","86,390","87,160","86,101","459.34K","0.64%"
"Oct 17, 2017","86,449","86,000","86,668","85,612","648.63K","1.13%"
"Oct 16, 2017","85,484","86,000","86,277","85,484","660.52K","-0.60%"
"Oct 13, 2017","86,000","86,812","87,011","85,557","778.97K","-0.50%"
"Oct 12, 2017","86,432","87,500","87,923","86,432","465.54K","-1.40%"
"Oct 11, 2017","87,660","88,399","88,607","87,314","568.33K","-0.10%"
"Oct 10, 2017","87,747","87,120","87,748","87,120","656.93K","0.47%"
"Oct 09, 2017","87,339","85,840","87,599","85,840","519.25K","2.31%"
"Oct 06, 2017","85,367","84,000","86,308","84,000","601.10K","1.51%"
"Oct 05, 2017","84,100","84,701","85,022","84,100","691.59K","-1.50%"
"Oct 04, 2017","85,384","84,790","85,558","84,647","589.52K","0.22%"
"Oct 03, 2017","85,200","84,939","85,294","84,259","1.12M","0.40%"
"Oct 02, 2017","84,862","84,299","85,002","84,299","775.88K","0.26%"
"Sep 29, 2017","84,642","84,299","84,802","84,176","968.25K","0.41%"
"Sep 28, 2017","84,299","85,760","86,000","84,299","949.10K","-1.06%"
"Sep 27, 2017","85,200","84,118","85,850","83,913","431.06K","1.97%"
"Sep 26, 2017","83,558","82,342","83,558","80,855","1.20M","1.48%"
"Sep 22, 2017","82,342","81,925","82,915","81,570","1.07M","0.56%"
"Sep 21, 2017","81,886","83,071","83,130","80,500","3.29M","-1.36%"
"Sep 20, 2017","83,013","83,500","84,356","82,811","446.77K","-1.28%"
"Sep 19, 2017","84,089","84,300","84,505","83,844","494.05K","-0.32%"
"Sep 18, 2017","84,356","84,900","85,348","83,685","763.34K","-0.64%"
"Sep 15, 2017","84,900","82,676","84,900","82,600","2.77M","2.35%"
"Sep 14, 2017","82,950","83,500","83,872","82,950","1.15M","-1.15%"
"Sep 13, 2017","83,917","83,259","83,983","82,443","486.87K","1.01%"
"Sep 12, 2017","83,074","83,539","83,626","82,664","734.49K","-0.56%"
"Sep 11, 2017","83,539","84,021","84,452","83,410","286.26K","-0.09%"
"Sep 08, 2017","83,613","82,640","83,721","82,074","452.65K","1.17%"
"Sep 07, 2017","82,643","81,250","82,671","80,670","1.79M","2.21%"
"Sep 06, 2017","80,855","80,200","81,193","79,891","1.12M","0.72%"
"Sep 05, 2017","80,277","80,800","80,800","80,230","465.90K","-0.77%"
