"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2018","59,506.12","59,716.34","59,856.16","59,384.94","311.07M","-0.07%"
"Jan 30, 2018","59,546.23","60,315.28","60,342.72","59,328.07","358.37M","-2.07%"
"Jan 29, 2018","60,806.90","61,560.15","61,619.24","60,697.12","356.09M","-1.28%"
"Jan 26, 2018","61,595.86","61,768.79","61,776.68","61,422.96","294.05M","-0.14%"
"Jan 25, 2018","61,684.77","61,398.66","61,696.75","61,210.87","273.90M","0.10%"
"Jan 24, 2018","61,623.13","61,597.81","61,704.25","61,377.18","298.51M","0.24%"
"Jan 23, 2018","61,475.44","61,342.45","61,620.98","61,327.72","350.59M","0.68%"
"Jan 22, 2018","61,060.28","61,041.90","61,190.94","60,856.58","297.97M","0.24%"
"Jan 19, 2018","60,912.88","60,953.24","61,023.21","60,613.97","273.31M","-0.02%"
"Jan 18, 2018","60,922.55","61,033.47","61,293.81","60,680.99","351.51M","-0.00%"
"Jan 17, 2018","60,924.46","60,633.55","61,309.18","60,434.59","286.11M","0.45%"
"Jan 16, 2018","60,649.60","60,368.58","60,706.97","60,305.80","252.83M","0.68%"
"Jan 15, 2018","60,240.96","60,155.29","60,320.54","60,032.71","190.32M","0.26%"
"Jan 12, 2018","60,083.13","59,884.29","60,083.13","59,732.58","165.48M","0.80%"
"Jan 11, 2018","59,606.02","59,738.20","59,789.08","59,356.89","394.14M","-0.62%"
"Jan 10, 2018","59,979.63","60,000.60","60,182.70","59,689.21","483.82M","-0.22%"
"Jan 09, 2018","60,113.65","60,116.69","60,206.59","59,888.40","204.14M","0.13%"
"Jan 08, 2018","60,038.39","59,857.94","60,082.44","59,604.10","173.36M","0.54%"
"Jan 05, 2018","59,717.20","59,479.19","59,835.12","59,263.93","156.62M","0.40%"
"Jan 04, 2018","59,476.77","59,569.48","59,820.59","59,027.01","221.70M","-0.26%"
"Jan 03, 2018","59,629.64","60,070.74","60,150.69","59,008.78","165.49M","-0.17%"
"Jan 02, 2018","59,731.16","59,728.85","59,790.28","59,308.36","149.54M","0.38%"
"Dec 29, 2017","59,504.67","59,076.94","59,504.67","58,817.11","90.55M","0.94%"
"Dec 28, 2017","58,952.89","58,860.01","59,020.93","58,505.98","133.24M","0.19%"
"Dec 27, 2017","58,844.01","58,800.23","58,844.01","58,398.94","123.69M","0.07%"
"Dec 22, 2017","58,800.23","58,961.90","58,981.96","58,476.04","99.47M","0.05%"
"Dec 21, 2017","58,771.79","58,086.60","59,028.84","58,052.92","737.55M","1.27%"
"Dec 20, 2017","58,032.09","58,190.68","58,473.92","58,032.09","534.33M","-0.24%"
"Dec 19, 2017","58,170.44","57,647.86","58,675.54","57,620.00","659.20M","0.80%"
"Dec 18, 2017","57,707.42","57,225.90","57,998.02","57,225.90","472.82M","0.51%"
"Dec 15, 2017","57,412.76","57,771.88","57,771.93","57,236.97","783.81M","-0.75%"
"Dec 14, 2017","57,845.57","57,336.82","57,845.57","57,257.61","394.69M","0.87%"
"Dec 13, 2017","57,344.41","57,591.78","57,695.54","57,152.27","1.35B","-0.31%"
"Dec 12, 2017","57,523.62","57,780.00","57,811.23","57,315.02","-","-0.82%"
"Dec 11, 2017","57,997.33","58,026.45","58,209.43","57,791.25","330.52M","-0.03%"
"Dec 08, 2017","58,012.31","58,367.62","58,441.15","57,825.85","502.96M","-0.00%"
"Dec 07, 2017","58,013.18","58,095.69","58,098.66","57,751.85","1.06B","0.01%"
"Dec 06, 2017","58,010.18","58,512.12","58,563.99","57,860.88","620.37M","-1.64%"
"Dec 05, 2017","58,977.23","59,135.45","59,135.45","58,747.12","316.93M","-1.06%"
"Dec 04, 2017","59,607.34","59,869.05","59,998.05","59,395.83","304.14M","0.27%"
"Dec 01, 2017","59,449.38","59,651.21","59,782.21","59,337.58","287.73M","-0.54%"
"Nov 30, 2017","59,772.83","59,831.56","60,112.84","59,772.83","521.43M","-1.07%"
"Nov 29, 2017","60,418.39","60,085.06","60,528.43","59,954.35","237.23M","0.56%"
"Nov 28, 2017","60,082.79","59,916.76","60,340.58","59,891.94","374.98M","-0.12%"
"Nov 27, 2017","60,157.56","60,192.79","60,497.17","60,079.92","244.07M","-0.28%"
"Nov 24, 2017","60,323.95","60,409.89","60,554.93","60,264.14","191.97M","0.04%"
"Nov 23, 2017","60,298.16","60,714.91","60,848.09","60,254.85","212.19M","-0.75%"
"Nov 22, 2017","60,751.18","61,135.17","61,198.11","60,699.49","255.83M","-0.75%"
"Nov 21, 2017","61,211.52","60,957.58","61,298.60","60,843.22","248.79M","1.18%"
"Nov 20, 2017","60,500.61","60,290.91","60,528.93","60,230.23","252.85M","0.62%"
"Nov 17, 2017","60,128.41","59,767.71","60,183.49","59,733.50","274.46M","0.97%"
"Nov 16, 2017","59,549.22","59,342.22","59,688.73","59,342.22","335.54M","0.62%"
"Nov 15, 2017","59,185.21","59,275.95","59,671.39","59,185.21","296.33M","-0.56%"
"Nov 14, 2017","59,518.90","59,822.17","59,952.88","59,501.81","268.52M","-0.51%"
"Nov 13, 2017","59,821.49","59,938.02","60,150.04","59,762.35","187.24M","0.08%"
"Nov 10, 2017","59,776.12","59,935.15","60,142.35","59,776.12","242.92M","-0.14%"
"Nov 09, 2017","59,862.11","60,064.61","60,270.95","59,790.95","-","-0.36%"
"Nov 08, 2017","60,078.03","60,101.71","60,203.43","59,935.36","261.91M","-0.17%"
"Nov 07, 2017","60,182.60","60,423.53","60,589.77","60,182.60","258.84M","0.35%"
"Nov 06, 2017","59,975.67","60,031.29","60,140.33","59,846.11","172.75M","0.57%"
"Nov 03, 2017","59,638.21","59,585.65","59,760.45","59,473.35","199.55M","0.52%"
"Nov 02, 2017","59,331.20","59,400.74","59,517.01","59,296.79","196.64M","-0.31%"
"Nov 01, 2017","59,514.11","59,387.93","59,787.12","59,377.81","274.27M","0.91%"
"Oct 31, 2017","58,980.11","59,019.05","59,038.37","58,801.72","253.55M","0.17%"
"Oct 30, 2017","58,879.14","58,769.63","58,974.81","58,649.86","280.41M","0.28%"
"Oct 27, 2017","58,714.04","58,578.58","58,825.63","58,466.98","284.29M","0.24%"
"Oct 26, 2017","58,576.29","58,376.95","58,866.95","58,349.97","411.44M","0.78%"
"Oct 25, 2017","58,123.13","57,964.91","58,302.34","57,870.19","244.47M","0.38%"
"Oct 24, 2017","57,904.72","57,989.50","58,048.46","57,761.85","195.24M","-0.16%"
"Oct 23, 2017","57,999.60","58,029.86","58,204.16","57,914.74","188.60M","0.09%"
"Oct 20, 2017","57,948.66","58,233.76","58,262.02","57,948.66","283.63M","0.09%"
"Oct 19, 2017","57,896.83","58,092.71","58,092.71","57,681.26","304.22M","-0.44%"
"Oct 18, 2017","58,152.41","57,770.10","58,197.65","57,668.12","244.94M","0.47%"
"Oct 17, 2017","57,882.67","58,177.02","58,204.66","57,796.71","230.70M","-0.48%"
"Oct 16, 2017","58,163.56","58,163.56","58,163.56","58,163.56","226.57M","0.50%"
"Oct 13, 2017","57,876.60","57,792.10","57,920.52","57,569.63","269.83M","0.22%"
"Oct 12, 2017","57,747.34","57,754.85","57,845.51","57,614.98","264.11M","-0.04%"
"Oct 11, 2017","57,770.73","57,776.56","57,827.74","57,601.21","279.15M","0.24%"
"Oct 10, 2017","57,629.93","57,544.61","57,629.93","57,472.36","243.09M","0.17%"
"Oct 09, 2017","57,530.11","57,297.42","57,750.97","57,297.42","227.72M","0.52%"
"Oct 06, 2017","57,231.87","57,209.79","57,353.43","57,066.21","363.05M","0.41%"
"Oct 05, 2017","56,999.79","56,808.67","57,061.26","56,710.79","247.96M","0.44%"
"Oct 04, 2017","56,750.03","56,435.69","56,750.03","56,435.69","1.31B","0.70%"
"Oct 03, 2017","56,358.26","55,951.42","56,455.18","55,951.42","321.23M","1.04%"
"Oct 02, 2017","55,778.27","55,838.58","56,063.27","55,778.27","288.17M","0.36%"
