"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2018","35,912","36,499","36,856","35,654","551.08K","-1.61%"
"Jan 30, 2018","36,500","36,948","36,948","35,500","401.27K","-1.35%"
"Jan 29, 2018","37,000","37,500","37,791","36,574","353.26K","0.00%"
"Jan 26, 2018","37,000","37,100","37,900","36,259","959.16K","-1.35%"
"Jan 25, 2018","37,507","34,910","38,350","34,750","762.73K","7.13%"
"Jan 24, 2018","35,010","35,700","36,578","34,882","804.70K","-2.21%"
"Jan 23, 2018","35,800","37,536","38,303","35,000","1.02M","-4.38%"
"Jan 22, 2018","37,441","37,000","38,819","35,822","591.44K","1.19%"
"Jan 19, 2018","37,000","37,100","38,340","36,455","311.78K","-1.32%"
"Jan 18, 2018","37,495","38,001","38,790","36,806","404.65K","-2.38%"
"Jan 17, 2018","38,410","37,254","38,762","34,600","787.34K","3.25%"
"Jan 16, 2018","37,200","39,939","39,939","36,311","861.45K","-6.85%"
"Jan 15, 2018","39,936","39,950","40,750","39,678","290.15K","0.37%"
"Jan 12, 2018","39,790","41,200","41,200","39,626","355.78K","-1.75%"
"Jan 11, 2018","40,500","40,500","41,333","39,672","369.94K","0.63%"
"Jan 10, 2018","40,247","41,290","41,398","39,766","645.77K","-3.00%"
"Jan 09, 2018","41,490","39,900","41,490","39,647","602.64K","5.50%"
"Jan 08, 2018","39,326","39,500","40,000","39,000","426.74K","-0.26%"
"Jan 05, 2018","39,429","38,559","39,500","38,006","322.98K","2.43%"
"Jan 04, 2018","38,494","38,000","38,925","37,200","602.52K","2.11%"
"Jan 03, 2018","37,700","38,600","38,968","37,101","429.57K","-1.50%"
"Jan 02, 2018","38,276","38,000","38,799","37,531","432.04K","0.96%"
"Dec 29, 2017","37,913","37,700","38,280","37,311","181.15K","-0.90%"
"Dec 28, 2017","38,257","36,200","38,343","36,200","270.87K","3.96%"
"Dec 27, 2017","36,800","36,000","37,200","35,594","269.72K","-0.90%"
"Dec 22, 2017","37,136","35,941","37,166","35,701","320.59K","3.32%"
"Dec 21, 2017","35,941","36,500","37,000","35,799","477.99K","-1.67%"
"Dec 20, 2017","36,551","36,784","37,198","35,632","711.59K","1.25%"
"Dec 19, 2017","36,100","37,200","38,610","36,072","1.37M","-3.04%"
"Dec 18, 2017","37,232","37,000","38,100","36,666","568.61K","1.08%"
"Dec 15, 2017","36,835","36,948","36,948","35,994","1.01M","-0.36%"
"Dec 14, 2017","36,969","35,411","36,969","35,411","762.97K","3.19%"
"Dec 13, 2017","35,827","35,420","36,900","34,837","634.17K","0.02%"
