"Date","Price","Open","High","Low","Change %"
"Jan 31, 2018","11.8650","11.9575","11.9975","11.8121","-0.83%"
"Jan 30, 2018","11.9638","11.9463","12.0650","11.8753","0.16%"
"Jan 29, 2018","11.9450","11.8360","12.0225","11.8247","0.66%"
"Jan 26, 2018","11.8672","11.9250","11.9550","11.8154","-0.40%"
"Jan 25, 2018","11.9150","11.8526","11.9450","11.7950","0.52%"
"Jan 24, 2018","11.8530","12.0322","12.0575","11.8475","-1.49%"
"Jan 23, 2018","12.0325","12.0475","12.1675","12.0235","-0.16%"
"Jan 22, 2018","12.0512","12.1209","12.1550","12.0121","-1.15%"
"Jan 19, 2018","12.1910","12.1326","12.2552","12.0669","0.46%"
"Jan 18, 2018","12.1350","12.3075","12.3725","12.0992","-1.36%"
"Jan 17, 2018","12.3025","12.2650","12.3487","12.2135","0.19%"
"Jan 16, 2018","12.2790","12.3039","12.3657","12.1881","-0.22%"
"Jan 15, 2018","12.3057","12.3205","12.4050","12.2690","-0.45%"
"Jan 12, 2018","12.3612","12.3926","12.4756","12.3612","-0.18%"
"Jan 11, 2018","12.3840","12.4323","12.5050","12.3562","-0.41%"
"Jan 10, 2018","12.4346","12.3373","12.5548","12.3250","0.73%"
"Jan 09, 2018","12.3450","12.3817","12.4650","12.2761","-0.32%"
"Jan 08, 2018","12.3850","12.3314","12.4850","12.2927","0.66%"
"Jan 05, 2018","12.3044","12.3227","12.4153","12.2900","-0.07%"
"Jan 04, 2018","12.3127","12.3560","12.4077","12.2333","-0.41%"
"Jan 03, 2018","12.3640","12.4609","12.5191","12.3120","-0.76%"
"Jan 02, 2018","12.4583","12.3749","12.4775","12.2648","0.69%"
"Jan 01, 2018","12.3724","12.3744","12.3744","12.3724","0.00%"
"Dec 29, 2017","12.3724","12.3800","12.4410","12.2825","0.02%"
"Dec 28, 2017","12.3700","12.2725","12.4502","12.2324","0.82%"
"Dec 27, 2017","12.2691","12.5127","12.5392","12.2648","-2.06%"
"Dec 26, 2017","12.5275","12.6081","12.6298","12.4934","-0.81%"
"Dec 25, 2017","12.6300","12.6438","12.6650","12.5812","0.25%"
"Dec 22, 2017","12.5987","12.7740","12.7875","12.5799","-1.30%"
"Dec 21, 2017","12.7640","12.7053","12.7842","12.6769","0.42%"
"Dec 20, 2017","12.7103","12.7072","12.8075","12.5629","-0.05%"
"Dec 19, 2017","12.7170","12.7607","12.8720","12.6562","-0.42%"
"Dec 18, 2017","12.7707","13.1213","13.3450","12.5429","-2.86%"
"Dec 15, 2017","13.1464","13.5142","13.5350","13.1198","-2.66%"
"Dec 14, 2017","13.5053","13.4513","13.5375","13.3813","0.39%"
"Dec 13, 2017","13.4535","13.6740","13.6825","13.4255","-1.63%"
"Dec 12, 2017","13.6765","13.6053","13.7275","13.5704","0.52%"
"Dec 11, 2017","13.6058","13.7003","13.7378","13.5618","-0.36%"
"Dec 08, 2017","13.6550","13.7350","13.7600","13.5483","-0.60%"
"Dec 07, 2017","13.7375","13.5100","13.7500","13.5054","1.68%"
"Dec 06, 2017","13.5109","13.4480","13.5962","13.4454","0.50%"
"Dec 05, 2017","13.4435","13.5175","13.5780","13.4350","-0.53%"
"Dec 04, 2017","13.5153","13.7689","13.8122","13.4971","-1.40%"
"Dec 01, 2017","13.7068","13.6886","13.8041","13.6587","0.06%"
"Nov 30, 2017","13.6985","13.6612","13.7300","13.5575","0.27%"
"Nov 29, 2017","13.6615","13.6573","13.7574","13.5773","0.01%"
"Nov 28, 2017","13.6600","13.7525","13.8100","13.5643","-0.73%"
"Nov 27, 2017","13.7600","14.0950","14.1428","13.6775","-2.82%"
"Nov 24, 2017","14.1587","13.8880","14.1587","13.8191","1.99%"
"Nov 23, 2017","13.8822","13.8410","13.9325","13.8292","0.37%"
"Nov 22, 2017","13.8317","13.9660","13.9997","13.8053","-1.03%"
"Nov 21, 2017","13.9750","14.0429","14.1525","13.9542","-0.49%"
"Nov 20, 2017","14.0436","14.0335","14.0883","13.9764","0.45%"
"Nov 17, 2017","13.9810","14.1600","14.2446","13.9560","-1.24%"
"Nov 16, 2017","14.1563","14.3985","14.4392","14.1509","-1.61%"
"Nov 15, 2017","14.3885","14.3710","14.4525","14.3108","0.18%"
"Nov 14, 2017","14.3633","14.4734","14.5258","14.3446","-0.78%"
"Nov 13, 2017","14.4764","14.3825","14.5875","14.3450","0.74%"
"Nov 10, 2017","14.3704","14.2568","14.4291","14.2241","0.86%"
"Nov 09, 2017","14.2482","14.1493","14.3198","14.1021","0.67%"
"Nov 08, 2017","14.1528","14.2348","14.2697","14.1176","-0.53%"
"Nov 07, 2017","14.2288","14.0960","14.2675","14.0846","0.93%"
"Nov 06, 2017","14.0970","14.2204","14.2965","14.0755","-0.89%"
"Nov 03, 2017","14.2239","13.9825","14.2725","13.9717","1.79%"
"Nov 02, 2017","13.9738","14.0585","14.0835","13.9000","-0.61%"
"Nov 01, 2017","14.0600","14.1258","14.1722","14.0065","-0.49%"
"Oct 31, 2017","14.1289","14.0490","14.1850","14.0110","0.57%"
"Oct 30, 2017","14.0490","14.1142","14.1442","14.0238","-0.11%"
"Oct 27, 2017","14.0641","14.2430","14.3577","14.0566","-1.27%"
"Oct 26, 2017","14.2450","14.0650","14.3080","14.0085","1.42%"
"Oct 25, 2017","14.0450","13.7654","14.1415","13.7089","2.25%"
"Oct 24, 2017","13.7360","13.7033","13.7875","13.6758","0.20%"
"Oct 23, 2017","13.7088","13.6858","13.7721","13.6465","0.50%"
"Oct 20, 2017","13.6400","13.5000","13.7483","13.4957","1.15%"
